Epochs,1loss,1cls_loss,1box_loss,2loss,2cls_loss,2box_loss,3loss,3cls_loss,3box_loss,4loss,4cls_loss,4box_loss
313,,,,,,,0.2071,0.0829,3.10E-04,,,
314,,,,,,,0.2044,0.0816,2.82E-04,,,
315,,,,,,,0.2596,0.1257,5.05E-04,,,
316,,,,,,,0.2205,0.099,2.57E-04,,,
317,,,,,,,0.1935,0.0724,2.49E-04,,,
318,,,,,,,0.2076,0.0825,3.28E-04,,,
319,,,,,,,0.2254,0.0973,3.88E-04,,,
320,,,,,,,0.2018,0.0804,2.54E-04,,,
321,,,,,,,0.2257,0.0844,6.52E-04,,,
322,,,,,,,0.2252,0.0877,5.76E-04,,,
323,,,,,,,0.1952,0.0694,3.43E-04,,,
324,,,,,,,0.2108,0.0809,4.24E-04,,,
325,,,,,,,0.2379,0.1083,4.18E-04,,,
326,,,,,,,0.2075,0.0821,3.35E-04,,,
327,,,,,,,0.2047,0.0822,2.76E-04,,,
328,,,,,,,0.2003,0.0772,2.87E-04,,,
329,,,,,,,0.2023,0.0803,2.66E-04,,,
330,,,,,,,0.2181,0.0908,3.72E-04,,,
331,,,,,,,0.2092,0.0833,3.45E-04,,,
332,,,,,,,0.1995,0.077,2.75E-04,,,
333,,,,,,,0.2092,0.0836,3.39E-04,,,
334,,,,,,,0.207,0.0847,2.72E-04,,,
335,,,,,,,0.2131,0.0879,3.30E-04,,,
336,,,,,,,0.2241,0.0993,3.23E-04,,,
337,,,,,,,0.2162,0.0927,2.95E-04,,,
338,,,,,,,0.245,0.1072,5.83E-04,,,
339,,,,,,,0.2043,0.0814,2.84E-04,,,
340,,,,,,,0.209,0.0829,3.48E-04,,,
341,,,,,,,0.2141,0.0896,3.17E-04,,,
342,,,,,,,0.2064,0.082,3.14E-04,,,
343,,,,,,,0.2089,0.084,3.24E-04,,,
344,,,,,,,0.2034,0.0795,3.05E-04,,,
345,,,,,,,0.2158,0.0912,3.18E-04,,,
346,,,,,,,0.2756,0.1396,5.46E-04,,,
347,,,,,,,0.2166,0.0906,3.47E-04,,,
348,,,,,,,0.2054,0.0768,3.97E-04,,,
349,,,,,,,0.2324,0.0947,5.80E-04,,,
350,,,,,,,0.2063,0.0767,4.19E-04,,,
351,,,,,,,0.1975,0.0778,2.21E-04,,,
352,,,,,,,0.2095,0.0837,3.42E-04,,,
353,,,,,,,0.2247,0.0886,5.48E-04,,,
354,,,,,,,0.2038,0.0797,3.09E-04,,,
355,,,,,,,0.248,0.12,3.86E-04,,,
356,,,,,,,0.2054,0.085,2.35E-04,,,
357,,,,,,,0.2333,0.1014,4.64E-04,,,
358,,,,,,,0.1838,0.0665,1.73E-04,,,
359,,,,,,,0.2321,0.0923,6.24E-04,,,
360,,,,,,,0.1898,0.0713,1.96E-04,,,
361,,,,,,,0.2134,0.0852,3.89E-04,,,
362,,,,,,,0.2383,0.1093,4.08E-04,,,
363,,,,,,,0.2383,0.1109,3.75E-04,,,
364,,,,,,,0.2029,0.0729,4.26E-04,,,
365,,,,,,,0.1952,0.0734,2.63E-04,,,
366,,,,,,,0.1887,0.0695,2.12E-04,,,
367,,,,,,,0.1919,0.071,2.44E-04,,,
368,,,,,,,0.2453,0.1073,5.85E-04,,,
